Genero;Idade;Escolaridade;Trabalho;Reg_metrop;Cor;Reg_Urbano;Cart_assinada;Pobreza
Feminino;36;7;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;19;6;7;Nao_Metrop;Branco;Urbano;Nao;Nao
Masculino;36;2;2;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;34;6;6;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;44;3;2;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;23;6;4;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;55;2;3;Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;40;3;10;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;72;5;9;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;48;5;3;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;22;5;6;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;55;7;8;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;62;2;3;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;50;7;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;42;5;7;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;42;2;4;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;57;7;7;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;40;6;7;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;48;7;2;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;30;4;2;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;20;4;4;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;28;3;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;48;2;1;Nao_Metrop;Nao Branco;Rural;Sim;Nao
Feminino;27;7;4;Nao_Metrop;Nao Branco;Rural;Sim;Nao
Masculino;30;5;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Feminino;23;4;11;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;45;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Feminino;42;7;9;Nao_Metrop;Branco;Rural;Outros;Nao
Masculino;30;3;1;Nao_Metrop;Branco;Rural;Outros;Pobreza
Masculino;49;2;1;Nao_Metrop;Branco;Rural;Outros;Nao
Feminino;40;5;4;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;32;5;3;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;19;4;3;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;57;2;1;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;46;3;2;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;57;3;4;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;33;7;3;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;35;5;3;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;31;6;8;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;25;5;4;Metrop;Branco;Urbano;Sim;Pobreza
Masculino;49;2;3;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;42;2;11;Metrop;Branco;Urbano;Sim;Nao
Feminino;28;5;11;Metrop;Branco;Urbano;Sim;Nao
Masculino;23;4;4;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;27;3;4;Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;43;2;3;Metrop;Branco;Urbano;Outros;Nao
Feminino;42;7;9;Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;22;4;4;Metrop;Branco;Urbano;Sim;Nao
Feminino;43;4;4;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;48;2;5;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;55;2;6;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;53;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;51;1;1;Nao_Metrop;Branco;Rural;Outros;Nao
Masculino;67;2;1;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;29;7;7;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;28;7;7;Nao_Metrop;Branco;Urbano;Outros;Nao
Feminino;40;7;1;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;30;5;7;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;63;5;3;Metrop;Branco;Urbano;Outros;Nao
Masculino;50;7;9;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;33;6;2;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;69;5;6;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;56;5;4;Metrop;Branco;Urbano;Outros;Nao
Feminino;48;7;8;Metrop;Branco;Urbano;Outros;Nao
Masculino;44;5;4;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;46;5;8;Metrop;Nao Branco;Urbano;Outros;Nao
